num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
68	0	2.972114001	1.661788204	1.566807037	2.061190479	1.35168509	-0.402938193
69	0	2.994158781	1.797934923	1.721094579	2.070895799	1.325678899	-0.408339785
70	0	3.013119778	1.924498383	1.843128535	2.047964938	1.294006621	-0.399467696
71	0	2.967708212	2.0425825	1.923863924	1.998151575	1.264178707	-0.379382381
72	0	2.891508568	2.13047143	1.976609361	1.91864983	1.223942676	-0.353335544
73	0	2.775804512	2.199285538	1.998876496	1.820198751	1.181583656	-0.310574059
74	0	2.675730205	2.17775386	1.990200345	1.748181839	1.140043461	-0.288366688
75	0	2.55372023	2.145691331	2.008924754	1.736673322	1.10453855	-0.276904176
76	0	2.477264963	2.08680016	2.024969848	1.779668505	1.119842371	-0.292637903
77	0	2.432046792	2.038983755	2.016613498	1.899290583	1.172145488	-0.3021167
78	0	2.49046835	1.996273401	1.990083542	2.046366813	1.238151533	-0.31697587
79	0	2.60592423	2.035984998	1.972712777	2.16328448	1.284985034	-0.34121354
80	0	2.751217354	2.043566866	1.921280542	2.220632357	1.31489932	-0.380701546
81	0	2.902290168	2.05901558	1.888272429	2.231346029	1.274352244	-0.418397759
82	0	3.029068182	2.082923902	1.878063258	2.183919249	1.228039155	-0.480364275
83	0	3.072531826	2.120900005	1.88978358	2.084338276	1.161384175	-0.545979104
84	0	3.065355115	2.115280809	1.87639294	1.949620959	1.154079015	-0.571855498
85	0	3.085439966	2.127782153	1.85985224	1.812837332	1.142623679	-0.56130366
86	0	3.075570264	2.156635129	1.813930032	1.71221591	1.198538828	-0.489214689
87	0	3.056044224	2.140638404	1.74289067	1.679274879	1.236836363	-0.395773598
88	0	3.054733396	2.086693725	1.67427201	1.708091627	1.270657898	-0.3304227
89	0	3.063636461	2.097324341	1.680255794	1.882015089	1.284567199	-0.271019533
90	0	2.992518372	2.094834502	1.717631432	2.054569533	1.365079327	-0.233763746
91	0	2.949696554	2.08519184	1.748792124	2.177744576	1.401484662	-0.259311551
92	0	2.928613612	2.127354212	1.811399578	2.253645219	1.414261931	-0.301207033
93	0	2.926500225	2.166700684	1.845550458	2.288611128	1.495233149	-0.342803666
94	0	2.952269392	2.12809809	1.817554285	2.180236044	1.532110312	-0.44237434
95	0	3.042929498	2.133091173	1.780653736	2.037282314	1.489373885	-0.540083337
96	0	3.107572145	2.119219088	1.780355418	1.910677629	1.477049138	-0.59570124
97	0	3.158571875	2.078512311	1.7628047	1.798130571	1.512154619	-0.623406633
98	0	3.219300654	2.064810506	1.740133978	1.735298285	1.450685528	-0.650902417
99	0	3.260497727	2.076023066	1.704672373	1.756644698	1.414670945	-0.619074664
100	0	3.239766425	2.0040648	1.629841281	1.775486919	1.404265749	-0.602809282
101	0	3.203681759	1.942150482	1.512093218	1.803641895	1.396891831	-0.603397435
102	0	3.142734364	1.890474632	1.353878262	1.836629652	1.320800403	-0.647883082
103	0	3.055413786	1.811657554	1.236435485	1.826327021	1.272933846	-0.648670617
104	0	2.934912039	1.723310793	1.187227764	1.873034303	1.21372947	-0.644193476
