num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	5.146106034	3.195886184	2.843628835	2.682421696	1.185031097	1.543636336
2	0	5.053336051	3.618246077	3.057856164	2.682421696	1.268518071	2.225420288
3	0	4.892153346	4.167953832	3.451591171	2.964526391	1.659442856	2.387113342
4	0	4.722577897	4.17236696	3.461642056	2.991755867	1.903045452	2.445257636
5	0	4.513319347	4.421787549	3.471592925	3.04929644	2.08819995	2.527571009
6	0	4.446441566	4.542711725	3.663709906	3.111931159	2.252116553	2.389864218
7	0	4.38142458	4.573707874	3.761919864	3.054073536	2.323211013	2.312748101
8	0	4.405324444	4.459910793	3.658043341	2.996289949	2.32180296	2.245206194
9	0	4.440820302	4.553808102	3.703928335	3.006167794	2.308014147	2.256226519
10	0	4.782387303	4.426796389	3.702906187	3.011821088	2.166334629	2.229943219
11	0	4.966897106	4.226040456	3.434937408	3.006618503	2.171298857	2.258215042
12	0	5.168886541	4.019671459	3.217361474	3.050440877	2.008599507	2.295616978
13	0	5.328618183	3.901561744	3.201324476	3.10552051	1.846962441	2.36441405
14	0	5.47689829	3.761055967	3.293133583	3.160898111	1.622574083	2.434355111
15	0	5.33777945	3.642997019	3.439912842	3.125047749	1.844342004	2.457941691
16	0	5.184263596	3.613759446	3.582716819	3.079513961	1.816980538	2.342931437
17	0	4.914785696	3.50172255	3.618780731	2.914807249	1.956968102	2.177843685
18	0	4.533811016	3.384312423	3.594097974	2.749257288	2.032391254	1.974096982
19	0	3.943030699	3.266238607	3.530817286	2.552164015	2.106530452	1.716889634
20	0	3.772873692	3.145987121	3.479432767	2.529155599	2.031771906	1.495390465
21	0	3.678779993	3.036932554	3.455077724	2.550623253	1.900579023	1.435638586
22	0	3.784114989	3.117150567	3.474807161	2.650290328	1.855119326	1.415820153
23	0	3.929546629	3.264228416	3.518160738	2.758440824	1.9122789	1.422932952
24	0	3.974047966	3.417323741	3.535773137	2.874561421	1.948743963	1.433443706
25	0	3.980059152	3.522871023	3.533171057	2.885178977	1.982459092	1.452743114
26	0	3.929024926	3.604800191	3.483288465	2.853990789	2.046248774	1.477087187
27	0	3.810339731	3.630406327	3.385439163	2.809787219	2.089337643	1.482309248
28	0	3.576615764	3.56154436	3.281375817	2.728834023	2.082248519	1.477489095
29	0	3.431777441	3.443998761	3.206555854	2.59685537	2.130473659	1.486556568
30	0	3.343731589	3.360246632	3.104595707	2.525199779	2.177699774	1.472428726
31	0	3.320298952	3.247834344	3.026188179	2.511873763	2.218261907	1.47500946
32	0	3.350002249	3.146872881	3.02145699	2.531925203	2.265586198	1.497132943
33	0	3.416615002	3.089784676	2.964398464	2.561976041	2.341758508	1.488267251
34	0	3.359297532	3.09602798	2.925891262	2.647987783	2.357696947	1.444381574
35	0	3.284536894	3.059700999	2.928726277	2.692520413	2.355936214	1.406590362
36	0	3.182937008	3.059255274	2.950011072	2.693810937	2.381627357	1.337797833
37	0	3.157247926	3.044932027	2.959250332	2.702051305	2.241671608	1.276318277
38	0	3.233277757	3.042076597	3.046423825	2.716137025	2.215399393	1.239003187
39	0	3.398335701	3.033844701	3.104745717	2.675472191	2.193363759	1.210155105
40	0	3.68789135	3.153498206	3.176544374	2.68397764	2.227054547	1.206137298
41	0	4.293441101	3.270725981	3.24628527	2.800164445	2.034319456	1.28635445
42	0	4.862088349	3.403311114	3.436361443	2.989363885	2.193261871	1.479800176
43	0	5.241434512	3.587862938	3.588750348	2.982490694	2.024484573	1.698925548
44	0	5.514201901	3.727435915	3.721785131	2.991620043	1.851565476	1.892905708
45	0	5.698781321	3.726846196	3.820554313	2.981526086	1.561842957	2.057320606
46	0	5.718089272	3.762080817	3.877427516	3.065630379	1.830134919	2.15788163
47	0	5.570993747	3.830067706	3.78767494	2.973263369	1.853872539	2.13705724
48	0	5.357018738	3.822741076	3.665206091	2.978183167	1.998704567	2.056797965
49	0	5.085216315	3.83185643	3.529265811	2.953421652	2.104226725	1.961133616
50	0	4.727982017	4.019599777	3.444979479	2.97099376	2.19248176	1.870504545
51	0	4.467848803	4.118320255	3.404858418	2.826820065	2.126641972	1.768835946
52	0	4.398265874	4.177093446	3.444354931	2.753996427	2.109326025	1.731479825
53	0	4.347014185	4.256196701	3.492971475	2.762438827	2.124592059	1.712885771
54	0	4.262127651	4.340313543	3.532512397	2.796488095	2.163849643	1.705910483
55	0	4.144677138	4.305923082	3.455081476	2.744827979	2.15594472	1.623909793
56	0	3.922664968	4.299962448	3.33732764	2.652897683	2.145914276	1.563263486
57	0	3.717257358	4.270766588	3.236065846	2.596158299	2.074322187	1.491414687
58	0	3.54472096	4.208660275	3.132779315	2.567638336	2.051635796	1.44911075
59	0	3.384629587	4.08091312	3.01924357	2.566555426	2.031021993	1.379680231
60	0	3.290399285	3.907257565	3.011715312	2.597647586	2.126248464	1.356891823
61	0	3.311215829	3.66342129	3.035677569	2.62826948	2.187169435	1.351527792
62	0	3.270047663	3.384104901	3.038726794	2.621485992	2.24751724	1.398334925
63	0	3.205506202	3.073232726	3.0789292	2.570482028	2.293484665	1.4595521
64	0	3.116780569	2.788127879	3.135645876	2.513863944	2.364102279	1.554037062
65	0	3.028878082	2.795041685	3.171408975	2.472044235	2.217559039	1.662656642
66	0	3.066480284	3.039576242	3.207873889	2.519093896	2.060272067	1.782956986
67	0	3.203550619	3.334864684	3.231639435	2.612159842	1.881204306	1.889587716
68	0	3.321064876	3.591480353	3.218227143	2.749696019	1.643441491	1.947379711
69	0	3.473777226	3.792062757	3.193316981	2.857298363	1.637041588	1.972550361
70	0	3.621482324	3.91580396	3.176679316	2.936651393	1.871909363	1.965475257
71	0	3.674088821	3.909405031	3.145633808	2.946641322	2.016005592	1.90251856
72	0	4.023242669	3.876163564	3.213724535	2.942379302	2.113758824	1.832304724
73	0	4.446731378	3.94989435	3.375788792	2.9980415	2.264410698	1.799064363
74	0	4.743247685	4.084321482	3.540161408	3.076655198	2.232979166	1.796967334
75	0	4.967137181	4.223605436	3.664077244	3.155629391	2.230146498	1.810927154
76	0	5.148283485	4.390144874	3.795769705	3.22866423	2.275705297	1.848399206
77	0	5.127466198	4.503468457	3.853267361	3.286754486	2.356834599	1.829883012
78	0	4.939723916	4.485468789	3.784827748	3.203151257	2.35173267	1.777317393
79	0	4.681855981	4.37732435	3.653134114	3.063080196	2.365567201	1.703926202
80	0	4.346156355	4.219796044	3.516868127	2.911241735	2.402601006	1.633255014
81	0	3.863333166	4.003865761	3.313627035	2.774019826	2.262882683	1.562306017
82	0	3.575010989	3.756637114	3.081983443	2.633299608	2.081567682	1.566473334
83	0	3.58561346	3.506094	2.948604025	2.666489481	1.905773373	1.571099234
84	0	3.67536456	3.298292142	2.898742531	2.725060293	1.928790894	1.550905493
85	0	3.738937395	3.10539029	2.856289395	2.7582617	1.638026682	1.535823915
86	0	3.766994678	2.896908249	2.851809348	2.750891404	1.638026682	1.505175155
87	0	3.725249354	2.669515612	2.908698944	2.744174908	1.878493784	1.429622416
88	0	3.660206164	2.613958792	2.981683995	2.666689454	2.060095749	1.379167402
89	0	3.627278373	2.644070955	3.022035491	2.614047699	2.062546853	1.354628519
90	0	3.571674575	2.742371147	3.021584663	2.640608385	2.250875907	1.302728698
91	0	3.631712844	3.012581699	3.014794739	2.687161694	2.396733128	1.284329138
92	0	3.866875122	3.45296644	3.048212033	2.763111168	2.368412087	1.278696861
93	0	4.082202645	3.766099683	3.086139438	2.916639976	2.343702432	1.260599924
94	0	4.193055026	3.982183951	3.109230234	3.051065409	2.224820928	1.22793113
95	0	4.288900084	4.143597602	3.179724852	3.098027203	2.067047987	1.220083187
96	0	4.296732606	4.192319369	3.23192446	3.129974807	1.89491778	1.179212041
97	0	4.135491574	4.038258983	3.162819439	3.115622686	1.757749314	1.124201979
98	0	4.273375859	3.940614644	3.219455264	3.032224871	1.625254864	1.189645109
99	0	4.462953676	3.873801643	3.370518514	2.945670163	1.628762683	1.299299488
100	0	4.646935274	3.810518986	3.494170685	2.905272411	1.708623208	1.398729241
101	0	4.822947152	3.860603778	3.617938172	2.925314377	1.793486916	1.523284237
102	0	5.014081516	4.028874262	3.755946347	2.968758303	1.902942194	1.662433424
103	0	4.910705989	3.991559704	3.719775527	3.028830941	2.024959718	1.677183035
104	0	4.726315545	3.895374328	3.581886217	3.054870679	2.081536009	1.671185192
105	0	4.478079794	3.78513751	3.406223619	3.076270044	2.101981976	1.669811083
106	0	4.206150724	3.581933834	3.198778486	3.044941864	2.120704896	1.663574646
107	0	3.806216584	3.354388098	2.950580846	3.012951858	2.107153738	1.642313513
108	0	3.734407945	3.298636685	2.858432497	3.029264955	2.009123043	1.644986029
109	0	3.774122633	3.314897684	2.840052476	3.05007937	1.924230606	1.638202194
110	0	3.881366581	3.322763662	2.853297267	3.09179842	1.849499943	1.614899575
111	0	3.908322627	3.33935681	2.854676535	3.149024479	1.753420032	1.563092548
112	0	3.981643136	3.306791353	2.900678417	3.204681636	1.654832965	1.523047222
113	0	4.093536963	3.277202844	2.966875182	3.200083139	1.647225932	1.528920653
114	0	4.20638839	3.213511616	3.079027778	3.207198002	1.652260697	1.562070579
115	0	4.219716926	3.150521039	3.18675821	3.16604152	1.696530048	1.615862079
116	0	4.194996491	3.109432086	3.277867948	3.104159795	1.745530364	1.664967255
117	0	4.099181999	3.126469219	3.33339924	3.024679679	1.784430485	1.675623229
118	0	3.948190456	3.127070848	3.358308959	2.976541757	1.789707734	1.637186982
119	0	3.721655436	3.132939	3.343775442	2.922486321	1.76692276	1.539848284
120	0	3.514710927	3.132584624	3.279734581	2.896529014	1.680863956	1.366886554
121	0	3.368595406	3.119301634	3.203582123	2.865098689	1.57874984	1.16794127
122	0	3.321259172	3.019501233	3.116458192	2.838034644	1.474222385	0.956984014
123	0	3.27041113	2.924403161	3.046897091	2.767492549	1.389769362	0.76057254
124	0	3.279794652	2.819591492	2.95657473	2.69258341	1.34121915	0.629350034
125	0	3.315831678	2.71439865	2.922118962	2.608133419	1.322077111	0.588343081
126	0	3.288277944	2.659472981	2.903772281	2.583415468	1.356629057	0.569247648
127	0	3.242350026	2.722508063	2.910186754	2.571417056	1.398494346	0.59712739
128	0	3.227463008	2.808513602	2.869578925	2.607256495	1.403450492	0.62159722
129	0	3.183036042	2.964123926	2.888397369	2.650057481	1.390106904	0.656819825
130	0	3.185079829	3.150801673	2.913565277	2.713713078	1.39590217	0.699129778
131	0	3.328192083	3.278464593	2.948776158	2.717848476	1.396995084	0.80415236
132	0	3.496068335	3.375097261	2.957394061	2.713084014	1.392304671	0.862996864
133	0	3.667480911	3.429086017	3.04084511	2.712497051	1.425674052	0.93347927
134	0	3.810144794	3.398010622	3.096951397	2.670282936	1.464004967	0.966908217
135	0	3.911660514	3.285921991	3.111593537	2.592580164	1.469051445	0.9775698
136	0	3.928725234	3.158824461	3.095996945	2.550828637	1.419120762	0.857223762
137	0	3.853221431	2.940929006	3.09673925	2.49090836	1.386531631	0.734929026
138	0	3.74662396	2.692724275	3.020689777	2.384603253	1.338113292	0.565593202
139	0	3.634119111	2.476778299	2.929786382	2.313020793	1.281285157	0.410540746
140	0	3.493553982	2.319165216	2.849363302	2.251053058	1.265760334	0.271705539
141	0	3.415095604	2.211071846	2.820156587	2.181283582	1.26036491	0.29208971
142	0	3.524982698	2.495998853	2.77541435	2.180489218	1.250055265	0.329472548
143	0	3.804495284	2.896876895	2.869609521	2.276103787	1.275459247	0.435733813
