num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	2.03E-05	1.62E-05	7.91E-05	3.02E-05	0.999854
3	rest	1.77E-05	1.74E-05	5.44E-05	0.000375092	0.999535
4	rest	3.24E-05	5.75E-05	1.91E-05	1.23E-05	0.999879
5	rest	3.99E-05	2.20E-05	3.58E-05	3.45E-05	0.999868
6	rest	0.000133351	7.80E-05	0.000148415	5.66E-05	0.999584
7	rest	0.000277208	0.000159161	0.000222112	0.000255215	0.999086
8	rest	6.97E-05	9.82E-05	6.33E-05	5.78E-05	0.999711
9	rest	6.59E-05	6.38E-05	0.000121202	7.85E-05	0.999671
10	rest	2.83E-05	4.80E-05	6.45E-05	4.42E-05	0.999815
11	rest	5.37E-05	4.85E-05	2.57E-05	4.28E-05	0.999829
12	rest	3.30E-05	8.55E-05	5.81E-05	1.94E-05	0.999804
13	rest	6.52E-05	0.000149143	4.70E-05	0.0001167	0.999622
14	rest	0.000199777	0.000210078	3.23E-05	5.23E-05	0.999505
15	rest	0.000380965	0.000281036	0.000121901	8.76E-05	0.999128
16	rest	0.000182434	8.85E-05	4.18E-05	6.82E-05	0.999619
17	rest	8.05E-05	4.26E-05	1.74E-05	2.08E-05	0.999839
18	rest	0.000646973	0.000317527	0.000452924	0.000206898	0.998376
19	rest	0.000999426	0.000296329	0.00031878	0.000177035	0.998208
20	rest	0.000488604	0.000147788	3.72E-05	0.000161003	0.999165
21	rest	0.000168788	0.000362211	0.0007054	0.000116601	0.998647
22	rest	0.000813246	0.0007552	0.000596341	0.00103392	0.996801
23	rest	0.000253004	0.000352518	8.36E-05	1.51E-05	0.999296
24	rest	3.26E-05	4.31E-05	1.83E-05	8.14E-06	0.999898
25	rest	0.000119974	6.89E-05	8.81E-05	0.000229666	0.999493
26	rest	0.000115365	5.76E-05	3.63E-05	7.80E-06	0.999783
27	rest	0.000100268	6.93E-05	8.44E-06	4.34E-05	0.999779
28	rest	5.64E-05	4.48E-05	3.74E-05	0.000112278	0.999749
29	rest	4.02E-05	4.15E-05	4.03E-05	9.36E-05	0.999784
30	rest	4.32E-05	5.71E-05	4.33E-05	4.06E-05	0.999816
31	rest	0.000109761	0.000162934	1.59E-05	5.10E-05	0.99966
32	rest	3.43E-05	1.64E-05	2.39E-05	2.16E-05	0.999904
33	rest	5.27E-05	4.99E-05	5.94E-05	2.59E-05	0.999812
34	rest	0.000187168	0.000324789	5.90E-05	2.88E-05	0.9994
35	rest	0.000143718	0.000119287	7.66E-05	0.000178147	0.999482
36	rest	0.000107948	0.000115738	5.78E-05	7.85E-05	0.99964
37	rest	0.000129401	0.000104545	7.89E-05	2.79E-05	0.999659
38	rest	6.00E-05	2.14E-05	7.47E-06	3.63E-05	0.999875
39	rest	0.000217306	0.000125672	5.81E-05	0.000209889	0.999389
40	rest	0.00046994	0.000253697	0.000148977	0.000126019	0.999001
41	rest	0.000471194	0.00019176	8.91E-05	4.63E-05	0.999202
42	rest	0.000206498	6.97E-05	7.75E-05	1.26E-05	0.999634
43	rest	0.000153053	4.73E-05	3.39E-05	9.67E-06	0.999756
44	rest	0.000102095	2.16E-05	5.11E-05	2.96E-05	0.999796
45	rest	0.000156598	4.15E-05	2.08E-05	1.77E-05	0.999763
46	rest	0.000184161	3.50E-05	0.000296456	0.000120619	0.999364
47	rest	5.60E-05	2.18E-05	2.93E-05	1.59E-05	0.999877
48	rest	6.83E-05	3.13E-05	0.00011307	3.27E-05	0.999755
49	rest	2.42E-05	1.62E-05	2.27E-05	4.45E-06	0.999932
50	rest	3.07E-05	2.27E-05	3.19E-05	5.22E-05	0.999863
51	rest	0.000130282	7.03E-05	5.75E-05	2.28E-05	0.999719
52	rest	0.000104425	7.15E-05	3.61E-05	3.26E-05	0.999755
53	rest	0.000135888	4.67E-05	6.00E-05	0.000141085	0.999616
54	rest	0.00044296	0.000147617	6.99E-05	8.40E-05	0.999256
55	rest	0.000213318	5.12E-05	3.40E-05	6.01E-05	0.999641
56	rest	0.000362313	0.000106615	0.000157458	4.82E-05	0.999325
57	rest	0.000733563	7.41E-05	7.78E-05	7.66E-05	0.999038
58	rest	0.000355144	6.91E-05	4.72E-05	3.92E-05	0.999489
59	rest	7.16E-05	9.08E-05	3.37E-05	1.11E-05	0.999793
60	rest	0.000488923	0.000228535	0.00027604	0.000303732	0.998703
61	rest	0.00094745	0.000339845	0.000199272	0.000329655	0.998184
62	rest	0.000410414	0.000193493	3.50E-05	4.89E-05	0.999312
63	rest	3.19E-05	1.37E-05	5.55E-06	4.13E-06	0.999945
64	rest	0.000106603	3.84E-05	1.93E-05	4.96E-05	0.999786
65	rest	1.59E-05	2.04E-05	1.64E-05	2.43E-05	0.999923
66	rest	6.65E-05	6.71E-05	5.29E-05	2.56E-05	0.999788
67	rest	6.50E-05	8.89E-05	0.000115768	0.000133049	0.999597
68	rest	0.000228108	0.000180865	8.96E-05	0.000104463	0.999397
69	rest	0.00101917	0.000410708	0.000619086	3.72E-05	0.997914
70	rest	0.000553141	0.000339639	0.000254165	6.87E-05	0.998784
71	rest	0.000274771	0.000363448	8.90E-05	3.75E-05	0.999235
72	rest	5.36E-05	0.000117285	2.78E-05	8.94E-06	0.999792
73	rest	3.91E-05	1.35E-05	2.53E-05	6.45E-06	0.999916
74	rest	4.01E-05	3.18E-05	2.79E-05	2.89E-05	0.999871
75	rest	1.47E-05	9.62E-06	2.23E-06	6.72E-06	0.999967
76	rest	2.39E-05	8.43E-06	4.80E-06	2.12E-05	0.999942
77	rest	3.19E-05	3.72E-05	2.63E-05	6.37E-05	0.999841
78	rest	4.63E-05	5.00E-05	1.66E-05	6.34E-05	0.999824
79	rest	0.000175274	9.67E-05	9.08E-05	0.000120422	0.999517
80	rest	0.000189032	9.91E-05	0.000104279	7.41E-05	0.999534
81	rest	0.000188581	6.90E-05	1.23E-05	6.76E-05	0.999662
82	rest	9.14E-05	3.13E-05	4.38E-05	7.93E-05	0.999754
83	rest	0.000116765	0.00013936	0.000124565	3.76E-05	0.999582
84	rest	4.25E-05	3.00E-05	3.47E-06	5.82E-06	0.999918
85	rest	0.000140549	0.000205553	0.000136479	8.74E-05	0.99943
86	rest	0.000415848	0.000462391	0.000454539	0.000114916	0.998552
87	rest	0.000365201	0.000131956	3.66E-05	8.45E-05	0.999382
88	rest	2.57E-05	1.89E-05	8.84E-06	2.37E-05	0.999923
89	rest	1.64E-05	2.29E-05	2.26E-05	2.05E-05	0.999918
90	rest	0.000115651	5.58E-05	5.04E-05	4.59E-05	0.999732
91	rest	0.000110331	4.64E-05	3.70E-05	9.25E-05	0.999714
92	rest	6.51E-05	4.81E-05	5.85E-06	1.19E-05	0.999869
93	rest	5.22E-05	6.39E-05	5.20E-05	6.14E-05	0.999771
94	rest	0.000217599	7.05E-05	0.000118802	3.39E-05	0.999559
95	rest	0.00117249	0.000427828	0.00153458	6.97E-05	0.996795
96	rest	0.00276298	0.000380831	0.000520485	0.000117707	0.996218
97	rest	0.00106898	0.000183875	0.000184509	7.84E-05	0.998484
98	rest	0.000195115	8.83E-05	1.37E-05	8.36E-05	0.999619
99	rest	5.94E-05	3.56E-05	2.21E-05	2.08E-05	0.999862
100	rest	6.01E-05	3.43E-05	1.27E-05	3.15E-05	0.999861
101	rest	4.36E-05	1.72E-05	2.30E-05	5.05E-05	0.999866
102	rest	8.70E-06	5.20E-06	5.84E-06	5.15E-06	0.999975
103	rest	7.82E-05	4.01E-05	1.27E-05	2.47E-05	0.999844
104	rest	3.12E-05	3.02E-05	1.18E-05	4.25E-05	0.999884
105	rest	4.04E-05	4.55E-05	4.83E-05	1.24E-05	0.999853
106	rest	3.49E-05	2.22E-05	2.84E-05	1.77E-05	0.999897
107	rest	9.01E-05	6.26E-05	7.75E-05	5.99E-05	0.99971
108	rest	0.000147193	0.00018896	0.000244082	0.000102881	0.999317
109	rest	0.000156861	0.00015289	5.10E-05	3.78E-05	0.999601
110	rest	0.000345636	0.000166285	6.33E-05	8.82E-05	0.999337
111	rest	0.000203893	9.49E-05	3.65E-05	1.42E-05	0.99965
112	rest	0.000491951	0.000113466	4.07E-05	4.62E-05	0.999308
113	rest	0.000400311	8.14E-05	6.48E-05	0.000176419	0.999277
114	rest	0.000150191	0.000206422	6.27E-05	3.62E-05	0.999545
115	rest	0.000449213	0.00027	0.000138469	0.000103801	0.999039
116	rest	0.000557184	0.00017219	0.000248875	0.000106722	0.998915
117	rest	0.000187839	3.72E-05	5.89E-05	7.88E-05	0.999637
118	rest	0.000212054	0.000122485	0.000143642	7.79E-05	0.999444
119	rest	0.000103368	3.47E-05	4.69E-05	1.55E-05	0.9998
120	rest	6.75E-05	2.87E-05	2.47E-05	1.13E-05	0.999868
121	rest	7.56E-05	8.11E-05	9.18E-05	4.76E-05	0.999704
122	rest	4.49E-05	3.15E-05	4.47E-05	8.14E-05	0.999797
123	rest	7.00E-05	2.48E-05	2.67E-05	6.64E-06	0.999872
124	rest	0.000211865	3.59E-05	2.08E-05	0.000270051	0.999461
125	rest	0.00019848	7.25E-05	7.81E-05	5.59E-05	0.999595
126	rest	2.53E-05	9.54E-06	8.56E-06	3.74E-06	0.999953
127	rest	1.34E-05	1.32E-05	1.05E-05	2.05E-05	0.999942
128	rest	2.31E-05	2.05E-05	4.70E-06	2.58E-05	0.999926
129	rest	8.43E-05	2.61E-05	4.10E-05	4.26E-05	0.999806
130	rest	0.000392651	5.25E-05	0.0004206	8.84E-05	0.999046
131	rest	0.0020416	0.000328359	0.000275428	0.000184648	0.99717
132	rest	0.000761107	9.07E-05	6.09E-05	1.03E-05	0.999077
133	rest	0.000232375	4.84E-05	2.82E-05	1.58E-05	0.999675
134	rest	1.95E-05	8.85E-05	1.24E-05	8.32E-06	0.999871
135	rest	0.00016155	8.01E-05	3.31E-05	3.56E-05	0.99969
136	rest	0.000103542	1.88E-05	4.68E-05	1.62E-05	0.999815
137	rest	0.00106552	6.54E-05	0.000122941	0.000144677	0.998601
138	rest	0.00169901	0.000398571	0.00032439	0.000174875	0.997403
139	rest	0.00110422	0.000126282	0.00010009	4.17E-05	0.998628
140	rest	0.000407188	7.18E-05	2.29E-05	4.59E-06	0.999493
141	rest	0.000114069	4.38E-05	0.00012984	1.51E-05	0.999697
142	rest	5.66E-05	2.28E-05	1.45E-05	1.05E-05	0.999896
143	rest	0.000175516	7.46E-05	0.000116476	0.000747373	0.998886
144	rest	0.000400626	0.000787457	0.000591024	0.000246623	0.997974
145	rest	0.000290587	0.000216361	6.40E-05	2.17E-05	0.999407
146	rest	0.000219834	0.000137923	0.000117218	2.51E-05	0.9995
147	rest	8.67E-05	0.000142551	0.000326509	5.13E-05	0.999393
148	rest	8.81E-06	9.91E-06	6.07E-06	3.34E-06	0.999972
149	rest	3.31E-05	1.37E-05	2.12E-05	3.15E-06	0.999929
150	rest	0.000154064	2.58E-05	7.84E-05	1.43E-05	0.999727
151	rest	8.47E-05	2.61E-05	0.000109895	2.94E-05	0.99975
152	rest	0.000139234	4.65E-05	1.85E-05	4.44E-05	0.999751
153	rest	0.000108051	5.70E-05	3.42E-05	1.94E-05	0.999781
154	rest	9.71E-05	5.31E-05	3.63E-05	2.95E-05	0.999784
155	rest	4.28E-05	0.000117088	2.11E-05	8.47E-06	0.999811
156	rest	8.90E-05	6.72E-05	0.000115264	2.38E-05	0.999705
157	rest	0.00037961	4.28E-05	0.000100752	0.000134969	0.999342
158	rest	0.00022573	4.69E-05	5.27E-05	9.88E-05	0.999576
159	rest	0.000409205	3.42E-05	7.67E-05	0.000246604	0.999233
160	rest	0.000817269	0.000118324	6.52E-05	0.000152271	0.998847
161	rest	0.00112599	0.000156683	0.000106216	0.000136367	0.998475
162	rest	0.00096017	0.000266513	0.000228726	4.22E-05	0.998502
163	rest	0.000286571	4.21E-05	4.24E-05	4.49E-05	0.999584
164	rest	0.000247571	0.000109169	0.00010493	0.000127298	0.999411
165	rest	0.000214303	0.000111852	8.28E-05	0.000169672	0.999421
166	rest	0.000372749	0.000347941	0.00013316	0.000360704	0.998785
167	rest	0.000238763	0.000878126	9.78E-05	0.000190663	0.998595
168	rest	0.000250931	0.00110175	0.000154279	0.000135059	0.998358
169	rest	0.000111232	0.000267712	6.49E-05	1.44E-05	0.999542
170	rest	0.000179687	0.000313881	0.00010102	5.98E-05	0.999346
171	rest	0.000253032	0.000113084	0.000145436	0.000186055	0.999302
172	rest	0.000196869	0.000140806	0.000192918	0.000105202	0.999364
173	rest	0.000260592	0.000130269	0.000116881	6.75E-05	0.999425
174	rest	0.000347763	0.000154008	0.000194532	0.000162348	0.999141
175	rest	0.00042329	0.000172335	8.95E-05	0.000177876	0.999137
176	rest	0.000268465	0.000160177	5.65E-05	6.91E-05	0.999446
177	rest	0.000250155	6.34E-05	0.000114139	0.000201769	0.999371
178	rest	0.000848173	0.000300012	0.00023601	0.000447415	0.998168
179	rest	0.000291322	0.000499602	0.000199264	0.000132656	0.998877
180	rest	0.000253139	0.000267419	8.02E-05	6.60E-05	0.999333
181	rest	0.00010415	0.000170153	4.04E-05	9.40E-05	0.999591
182	rest	0.000419995	0.000530526	0.000421929	0.000116704	0.998511
183	rest	0.00226288	0.00157328	0.0015689	0.000569213	0.994026
184	rest	0.000949419	0.000994174	0.000243997	0.00015376	0.997659
185	rest	0.000448777	0.000918229	5.32E-05	7.99E-05	0.9985
186	rest	0.000208496	0.000335835	9.59E-05	0.000176404	0.999183
187	rest	0.000140832	0.00030651	6.98E-05	0.000151181	0.999332
188	rest	0.000157957	0.000365039	0.000122632	6.07E-05	0.999294
189	rest	5.10E-05	3.93E-05	3.39E-05	0.000412918	0.999463
190	rest	9.11E-05	0.000183425	9.82E-05	0.000848918	0.998778
191	rest	0.000239623	0.000234771	0.000105731	0.000133041	0.999287
192	rest	7.69E-05	0.000143932	9.45E-05	0.00027103	0.999414
193	rest	0.000134495	0.00029251	0.00016049	0.000198355	0.999214
194	rest	0.000147814	0.000100547	0.000111392	0.000109776	0.99953
195	rest	3.05E-05	5.27E-05	2.26E-05	3.36E-05	0.999861
196	rest	0.000227601	0.00015557	0.000133605	0.000321521	0.999162
197	rest	3.64E-05	2.67E-05	4.54E-06	2.04E-05	0.999912
198	rest	4.49E-05	2.71E-05	1.40E-05	2.23E-05	0.999892
199	rest	9.28E-05	2.55E-05	3.94E-05	8.46E-05	0.999758
