num_scan	state	face	maze	prep_face	pre_maze	rest
2	rest	0.000225067	3.16E-05	0.000151695	2.64E-05	0.999565
3	rest	8.87E-06	1.38E-05	4.76E-05	1.04E-05	0.999919
4	rest	4.99E-05	3.88E-05	0.000100176	3.11E-05	0.99978
5	rest	4.11E-05	1.67E-05	7.38E-06	1.87E-05	0.999916
6	rest	0.000191056	5.64E-05	3.57E-05	1.90E-05	0.999698
7	rest	0.000474471	9.80E-05	0.000219172	2.07E-05	0.999188
8	rest	0.00118307	5.33E-05	0.000133001	8.47E-06	0.998622
9	rest	0.00399751	0.000548228	0.00081023	0.000194684	0.994449
10	rest	0.00257333	0.000148164	0.000165756	3.17E-05	0.997081
11	rest	0.00166832	2.89E-05	0.000116658	3.25E-05	0.998154
12	rest	0.00109961	5.79E-05	8.94E-05	0.000109609	0.998643
13	rest	0.000714863	6.03E-05	0.000105766	0.000189268	0.99893
14	rest	0.000523079	1.25E-05	2.72E-05	9.85E-05	0.999339
15	rest	0.000529988	0.000107415	0.000149574	0.00013811	0.999075
16	rest	6.88E-05	1.58E-05	1.49E-05	1.90E-05	0.999882
17	rest	0.000291353	3.73E-05	0.000481834	1.96E-05	0.99917
18	rest	0.000715146	3.62E-05	0.000131761	9.92E-06	0.999107
19	rest	4.88E-05	1.80E-05	2.60E-05	2.53E-06	0.999905
20	rest	0.000180769	6.26E-05	0.000156537	3.70E-05	0.999563
21	rest	0.000355871	0.000109947	0.000466753	5.82E-05	0.999009
22	rest	0.00120835	0.000262089	0.000123674	3.19E-05	0.998374
23	rest	0.00177636	0.00057085	0.000258264	0.000220885	0.997174
24	rest	0.00132787	0.000456622	0.000195888	6.92E-05	0.99795
25	rest	0.000614955	0.000209493	4.36E-05	3.09E-05	0.999101
26	rest	0.000263215	0.000197082	0.000175866	1.29E-05	0.999351
27	rest	0.000401465	0.000263399	9.86E-05	8.17E-05	0.999155
28	rest	4.34E-05	3.49E-05	1.52E-05	2.78E-05	0.999879
29	rest	0.000109089	0.000223991	3.11E-05	8.11E-05	0.999555
30	rest	6.92E-05	0.000196306	3.37E-05	2.96E-05	0.999671
31	rest	0.000152274	8.06E-05	3.84E-05	9.74E-05	0.999631
32	rest	4.25E-05	2.37E-05	1.33E-05	6.95E-05	0.999851
33	rest	2.21E-05	8.31E-06	9.86E-06	8.30E-06	0.999951
34	rest	4.30E-05	6.86E-05	2.57E-05	9.06E-06	0.999854
35	rest	8.02E-06	9.41E-06	7.00E-06	3.19E-06	0.999972
36	rest	1.84E-05	3.43E-05	1.79E-05	2.14E-05	0.999908
37	rest	1.32E-05	1.58E-05	1.32E-05	6.55E-06	0.999951
38	rest	6.01E-05	1.14E-05	4.83E-06	3.72E-06	0.99992
39	rest	0.00010476	3.89E-05	1.30E-05	2.18E-05	0.999822
