num_scan	state	face	maze	prep_face	pre_maze	rest
1426	face	0.98091	0.000450238	0.000242148	3.22E-05	0.0183659
1427	face	0.978022	0.00135775	0.000439752	7.79E-05	0.0201021
1428	face	0.981462	0.00123761	0.00253666	0.000469456	0.0142943
1429	face	0.994146	0.000548147	0.00254917	2.26E-05	0.00273449
1430	face	0.995174	0.000269111	0.000655839	5.37E-05	0.0038476
1431	face	0.995626	5.71E-05	6.93E-05	5.88E-06	0.00424212
1432	face	0.996206	6.53E-05	0.000367385	2.06E-05	0.00334034
1433	face	0.991313	0.000134053	0.000163662	8.75E-05	0.00830213
1434	face	0.954661	0.000502547	0.000299396	2.15E-05	0.0445152
1435	face	0.902553	0.000219781	0.000915813	6.77E-05	0.0962441
1436	face	0.848946	0.000112824	0.000722368	9.16E-05	0.150127
1437	face	0.83258	0.00107425	0.000502978	0.000137105	0.165706
1438	face	0.778549	0.00219783	0.00289037	0.00140166	0.214961
1439	face	0.577112	0.00758067	0.00112939	0.000127788	0.41405
1440	face	0.527779	0.0168695	0.00101777	0.000158396	0.454175
1441	face	0.364249	0.00767743	0.000795229	0.000152713	0.627126
1442	face	0.37948	0.00985422	0.0110531	0.00049525	0.599117
1443	face	0.420555	0.015746	0.018914	0.000374796	0.54441
1444	face	0.457918	0.0141244	0.00464225	0.00148496	0.52183
1445	face	0.478084	0.0132082	0.00836276	0.000528452	0.499817
1446	face	0.520568	0.0259255	0.0281643	0.0062686	0.419074
1447	face	0.55901	0.0293547	0.00726509	0.00530699	0.399064
1448	face	0.547396	0.0323692	0.00112859	3.89E-05	0.419068
1449	face	0.44231	0.0217435	0.00112622	0.000168448	0.534652
1450	rest	0.17445	0.00269939	4.94E-05	2.88E-05	0.822772
1451	rest	0.0799536	0.000460917	8.76E-05	2.97E-05	0.919468
1452	rest	0.0669505	0.000372963	0.000672641	1.37E-05	0.93199
1453	rest	0.0556097	0.000112803	0.000403183	0.000147899	0.943726
1454	rest	0.0548302	2.14E-05	0.000322004	7.41E-05	0.944752
1455	rest	0.180871	0.000702016	0.0211979	0.0046231	0.792606
1456	rest	0.264708	0.00056881	0.0150985	0.00193467	0.71769
1457	rest	0.314704	0.00211515	0.00135764	0.00041892	0.681404
1458	rest	0.329309	0.0050626	0.00379113	0.00789463	0.653942
1459	rest	0.352617	0.0197373	0.00779078	0.000327068	0.619528
1460	rest	0.492784	0.0550598	0.00313839	0.000744582	0.448274
1461	face	0.75294	0.0955936	0.0625829	0.0014324	0.0874506
1462	face	0.884573	0.0733011	0.00222262	0.000204161	0.0396987
1463	face	0.923627	0.0458162	0.0118267	0.000221497	0.0185082
1464	face	0.945167	0.0356428	0.00271896	7.14E-05	0.0163996
1465	face	0.940984	0.0330851	0.0009966	4.05E-05	0.0248939
1466	face	0.918588	0.0286049	0.00029583	2.61E-05	0.0524851
1467	face	0.849297	0.0202529	0.000358578	4.08E-05	0.130051
1468	rest	0.629101	0.0106957	0.00152542	8.02E-05	0.358597
1469	rest	0.584907	0.00553617	0.000584768	1.02E-05	0.408962
1470	rest	0.504522	0.00381356	0.00150281	1.98E-05	0.490142
1471	rest	0.420235	0.000872087	0.00115419	0.000162002	0.577577
1472	rest	0.356073	0.00111032	0.000157763	0.000143894	0.642515
1473	rest	0.15433	0.000189305	0.000115125	3.33E-05	0.845332
1474	rest	0.128299	0.000272544	5.86E-05	8.37E-05	0.871286
1475	rest	0.0933307	0.00191582	0.000741006	0.000188281	0.903824
1476	rest	0.0619904	0.00153255	0.000183912	0.000222693	0.93607
1477	rest	0.0281288	0.000806093	3.54E-05	0.000157327	0.970872
1478	rest	0.00566785	0.000316831	0.000176539	0.000227686	0.993611
1479	rest	0.000233573	4.95E-05	9.58E-06	9.70E-06	0.999698
1480	rest	2.02E-05	6.80E-06	7.30E-06	1.28E-05	0.999953
1481	rest	0.000246272	5.00E-05	8.39E-05	6.06E-05	0.999559
1482	rest	0.000559456	6.49E-05	0.000447694	0.000158207	0.99877
1483	rest	0.00565573	0.000375291	0.00238023	0.000452798	0.991136
1484	rest	0.0227468	0.000711958	0.00686413	0.000391537	0.969286
1485	rest	0.0786353	0.00219297	0.0575984	0.0096293	0.851944
1486	face	0.325932	0.00701743	0.104599	0.00163446	0.560817
1487	face	0.482004	0.00707183	0.0698945	0.00247403	0.438556
1488	face	0.632284	0.00750528	0.203318	0.00113922	0.155754
1489	face	0.846787	0.00789249	0.0666643	0.00103297	0.0776228
1490	face	0.948182	0.0035076	0.00665199	0.00102059	0.0406377
1491	face	0.957661	0.00493843	0.00425648	0.00014643	0.0329978
1492	face	0.973781	0.00628495	0.000313118	0.000150781	0.0194704
1493	face	0.959531	0.0168006	0.000762417	0.000621177	0.0222851
1494	face	0.912637	0.0458164	0.0184579	0.000136886	0.0229517
1495	face	0.909958	0.0390501	0.00804715	7.17E-05	0.0428734
1496	face	0.863298	0.0292727	0.000282961	8.72E-05	0.107059
1497	face	0.793136	0.0201737	0.000182242	2.78E-05	0.18648
1498	face	0.740902	0.0166109	0.000341114	1.59E-05	0.24213
1499	face	0.635806	0.0026131	0.000284599	1.29E-05	0.361283
1500	face	0.564273	0.000881478	0.000275771	2.17E-05	0.434548
1501	face	0.444788	0.000184307	4.37E-05	1.11E-05	0.554973
1502	rest	0.293015	0.00023691	0.000147787	8.41E-05	0.706516
1503	rest	0.143933	0.000629842	5.30E-05	2.39E-05	0.85536
1504	rest	0.0336903	0.000105719	8.38E-06	2.42E-05	0.966171
1505	rest	0.00467378	0.000132831	7.38E-05	0.000106095	0.995013
1506	rest	0.00164641	0.000206278	0.000406091	3.24E-05	0.997709
1507	rest	0.00247369	0.000257796	0.00016892	6.04E-05	0.997039
1508	rest	0.00328625	0.000162237	0.000445413	2.78E-05	0.996078
1509	rest	0.00190821	6.25E-05	0.000116988	2.70E-05	0.997885
1510	rest	0.00129649	0.000323158	0.000600028	0.000135009	0.997645
1511	rest	0.00236358	0.00105139	0.00109805	9.66E-05	0.99539
1512	rest	0.0033162	0.00191242	3.97E-05	0.000135253	0.994596
1513	rest	0.00185323	0.000619959	3.45E-05	0.000105385	0.997387
1514	rest	0.0025639	0.00112438	0.000365555	0.000742953	0.995203
1515	rest	0.00308363	0.00287811	0.000485103	4.24E-05	0.993511
1516	rest	0.00158165	0.00201994	0.00130238	4.30E-05	0.995053
1517	rest	0.0025937	0.00188868	0.00097674	6.18E-05	0.994479
1518	rest	0.00345686	0.00152449	0.000710974	0.000109837	0.994198
1519	rest	0.00332424	0.00146322	0.000644239	0.000189646	0.994379
1520	rest	0.000201851	6.79E-06	9.78E-07	8.78E-07	0.99979
1521	rest	0.00162466	6.33E-05	0.000171559	0.0001987	0.997942
1522	rest	0.00165712	3.63E-05	0.000476484	2.31E-05	0.997807
1523	rest	0.00587285	8.69E-05	0.0156564	0.000550953	0.977833
1524	rest	0.0239563	0.00019547	0.0154346	0.000113484	0.9603
1525	rest	0.045984	6.71E-05	0.0114104	0.000624351	0.941914
1526	prepa_face	0.35533	0.00134119	0.409972	0.0110281	0.222328
1527	face	0.847059	0.00310195	0.11418	0.000664055	0.0349949
1528	face	0.982445	0.00210659	0.00938223	0.000784016	0.00528232
1529	face	0.992983	0.00289204	0.00169981	2.63E-06	0.0024227
1530	face	0.990927	0.0028467	0.00324934	4.61E-05	0.00293078
1531	face	0.996526	0.00132358	0.000689926	6.74E-05	0.00139323
1532	face	0.99832	0.00117131	9.95E-05	4.11E-06	0.00040494
1533	face	0.995375	0.00157635	0.00171363	1.70E-05	0.00131789
1534	face	0.983331	0.0018434	0.0119497	1.96E-05	0.0028567
1535	face	0.982265	0.00145213	0.012417	1.30E-05	0.00385259
1536	face	0.98688	0.000829979	0.00544289	3.13E-05	0.00681602
1537	face	0.988364	0.000747823	0.00257867	0.000100552	0.00820869
1538	face	0.987727	0.00164312	0.00405394	5.08E-05	0.00652482
1539	face	0.994545	0.00146014	0.00191872	3.13E-05	0.00204476
1540	face	0.998284	0.000635471	0.000387746	7.13E-05	0.000621048
1541	face	0.998308	0.000689454	0.000170128	3.68E-05	0.000795558
1542	face	0.997246	0.00123027	0.000223511	3.98E-05	0.00126018
1543	face	0.98745	0.00403475	0.000279685	2.35E-05	0.00821168
1544	face	0.57724	0.00956741	0.000279676	0.000239034	0.412674
1545	rest	0.0692363	0.000698038	5.31E-05	1.37E-05	0.929999
1546	rest	0.0240844	9.36E-05	2.21E-05	1.95E-05	0.97578
1547	rest	0.00643544	6.00E-05	7.64E-05	3.36E-05	0.993395
1548	rest	0.00247222	7.98E-05	8.91E-05	1.25E-05	0.997346
1549	rest	0.00358181	0.000827896	0.00314792	8.24E-05	0.99236
1550	rest	0.00756868	0.0014027	0.000241501	0.000494694	0.990292
1551	rest	0.00496451	0.00107821	8.15E-05	9.11E-05	0.993785
1552	rest	0.00402852	0.00107237	3.37E-05	4.46E-05	0.994821
1553	rest	0.0013444	0.000673135	2.36E-05	6.14E-06	0.997953
1554	rest	0.000200215	0.000262725	4.10E-05	1.90E-05	0.999477
1555	rest	0.000176141	0.000276456	0.00075571	0.000601679	0.99819
1556	rest	0.00121644	0.00108291	0.0028587	0.000493406	0.994349
1557	rest	0.00146767	0.00131525	0.000725834	0.000658159	0.995833
1558	rest	0.000403309	0.000718403	9.36E-05	0.000102037	0.998683
1559	rest	0.000199997	0.000132501	2.82E-05	3.37E-05	0.999606
1560	rest	0.000175971	5.12E-05	3.89E-05	2.05E-05	0.999713
1561	rest	0.000630362	0.00031628	0.000112182	2.46E-05	0.998917
1562	rest	0.000120137	0.000131046	1.92E-05	4.55E-05	0.999684
1563	rest	2.92E-05	3.25E-05	3.12E-05	2.53E-05	0.999882
1564	rest	5.01E-05	2.41E-05	2.61E-05	1.51E-05	0.999885
1565	rest	1.15E-05	5.86E-06	3.02E-06	5.98E-06	0.999974
1566	rest	1.36E-05	3.70E-06	2.00E-06	5.25E-05	0.999928
1567	rest	3.37E-05	2.74E-05	9.79E-06	1.55E-05	0.999914
1568	rest	0.000161955	9.68E-05	0.000182998	0.000277195	0.999281
1569	rest	0.000894297	0.00106721	0.000795466	0.000644027	0.996599
1570	rest	0.00134194	0.00224072	0.000319181	0.000278489	0.99582
1571	rest	0.000737279	0.00213634	6.07E-05	4.77E-05	0.997018
1572	rest	0.000908982	0.0016021	0.000203787	5.90E-05	0.997226
1573	rest	0.000960961	0.000614201	3.82E-05	0.000152009	0.998235
1574	rest	0.000954681	0.000464386	0.000403545	0.000643154	0.997534
1575	rest	0.00140371	0.000906316	4.13E-05	3.07E-05	0.997618
1576	rest	0.00190283	0.00115822	0.000141219	1.76E-05	0.99678
1577	rest	0.000778199	0.000380519	0.000282504	0.000149135	0.99841
1578	rest	0.000939043	0.000124387	6.21E-05	2.04E-05	0.998854
1579	rest	0.000127722	3.08E-05	3.90E-05	2.50E-05	0.999777
1580	rest	5.25E-05	2.85E-05	5.74E-05	2.57E-06	0.999859
1581	rest	0.00113348	6.59E-05	0.000585888	0.00014834	0.998066
1582	rest	0.00361414	0.000132543	0.000936625	0.000175552	0.995141
1583	rest	0.0112645	0.000725377	0.025139	0.000799542	0.962072
1584	rest	0.0436931	0.00536847	0.0405308	0.00457324	0.905834
1585	rest	0.136353	0.0394464	0.16893	0.00408838	0.651182
1586	rest	0.323732	0.0436508	0.0151054	0.000273479	0.617238
1587	rest	0.345117	0.0390447	0.00739129	0.000300245	0.608146
1588	rest	0.383291	0.0213049	0.00110178	0.000318579	0.593983
1589	rest	0.368495	0.0140883	0.000416766	8.63E-05	0.616913
1590	rest	0.193815	0.00528662	6.45E-05	0.00011963	0.800714
1591	rest	0.147285	0.0047459	0.000296722	0.00042562	0.847247
1592	rest	0.074263	0.00083203	6.00E-05	5.30E-05	0.924792
1593	rest	0.05569	0.000512387	6.72E-05	7.89E-05	0.943652
