num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
1	0	5.086949086	3.06208479	3.199456708	3.697999585	2.310801094	0.95642604
2	0	5.086949086	3.06208479	3.199456708	3.697999585	2.310801094	0.95642604
3	0	5.086949086	3.06208479	3.199456708	3.697999585	2.310801094	0.95642604
4	0	5.086949086	3.06208479	3.199456708	3.697999585	2.310801094	0.95642604
5	0	5.086949086	3.06208479	3.199456708	3.697999585	2.310801094	0.95642604
6	0	5.086949086	3.06208479	3.199456708	3.697999585	2.310801094	0.95642604
7	0	5.073614812	3.029950647	3.182858339	3.727125407	2.321798016	0.95050934
8	0	5.027677442	2.985677368	3.215165036	3.742150922	2.360019569	0.952318536
9	0	4.94306627	2.919748302	3.278807101	3.800535974	2.399136034	0.946626516
10	0	4.811311947	2.81994745	3.317851116	3.859172652	2.422435157	0.928251837
11	0	4.600613207	2.666190237	3.352171241	3.975364986	2.433872534	0.906574174
12	0	4.330554932	2.543884511	3.400807853	4.051783779	2.447347082	0.876724922
13	0	4.071962284	2.382228486	3.363810987	4.159733015	2.407620579	0.831584877
14	0	3.830254148	2.198807934	3.255361335	4.212934227	2.355499217	0.827716676
15	0	3.705037759	2.017386382	3.203691611	4.293578329	2.364971966	0.837403076
16	0	3.725432426	1.920621158	3.181609109	4.336704889	2.284065764	0.84604166
17	0	3.771451177	1.814877802	3.20223303	4.400676622	2.301015849	0.889431831
18	0	3.74658505	1.797371431	3.282547869	4.314461015	2.352655093	0.936694302
19	0	3.841837716	1.876872251	3.411875365	4.236823291	2.298326587	0.937434747
20	0	3.812920013	1.992658996	3.481194664	4.115195106	2.292084884	0.968663425
21	0	3.776996011	2.058720474	3.524831456	4.118664647	2.363310571	1.018909211
22	0	3.807973894	2.177662937	3.561672169	4.062337762	2.328914086	1.043191249
23	0	3.87460043	2.274555431	3.582560328	4.171667625	2.318261382	1.051409598
24	0	3.731088306	2.315674669	3.570758662	4.270455688	2.399713198	1.056230693
25	0	3.661186172	2.339052105	3.580511139	4.360455693	2.385218418	0.996620735
26	0	3.60319044	2.378488271	3.570672109	4.343660052	2.389098022	0.898722974
27	0	3.420028536	2.29508953	3.483098251	4.25323671	2.403743006	0.797611926
28	0	3.227246409	2.198380615	3.387892172	4.288693796	2.346172821	0.719869702
29	0	3.207696404	2.098924965	3.298247035	4.325286923	2.340585204	0.695646914
30	0	3.26850499	2.005503819	3.165528099	4.370348298	2.356296077	0.740237048
31	0	3.287301173	1.894968058	3.056398899	4.384906018	2.37458959	0.794725238
32	0	3.404660163	1.89912853	3.057260396	4.460827434	2.36157679	0.842467489
33	0	3.468899072	1.90424025	3.078404484	4.443680418	2.396500216	0.857181059
34	0	3.50676993	1.910415421	3.105266905	4.389787323	2.347822143	0.815452664
35	0	3.436042966	1.886638034	3.141379933	4.337966131	2.258360328	0.766155441
36	0	3.397224844	1.832185207	3.157969858	4.309516071	2.172016158	0.716780139
37	0	3.323239945	1.741859007	3.081923514	4.327039465	2.065810017	0.668873382
38	0	3.271706117	1.667563091	3.005229758	4.307868314	1.939434885	0.655568724
39	0	3.271310911	1.618552737	2.950798094	4.341196791	1.933080979	0.657815567
40	0	3.273971406	1.5936318	2.935453831	4.369019598	1.959012034	0.627876732
41	0	3.21111973	1.633012311	2.963819246	4.282555479	1.98337703	0.621917819
42	0	3.154548513	1.707476331	3.071702919	4.171020942	2.077203033	0.654279404
43	0	3.119974898	1.732287575	3.143554634	4.067982605	2.167351367	0.673653849
44	0	3.044499665	1.748350926	3.172611539	3.930629472	2.189177942	0.719467463
45	0	3.0015429	1.791370789	3.186004934	3.75235415	2.19566423	0.772260211
